season,season_label,champion,champion_abbr,opponents,playoff_games,series_count,team_reg_ft_rate,team_po_ft_rate,team_ft_rate_change,team_matchup_swing,opp_reg_ft_rate_weighted,opp_reg_ft_rate_allowed_weighted,opp_po_ft_rate,opp_ft_rate_change,champion_reg_ft_rate_allowed,opp_matchup_swing,net_ft_rate_edge
2000,1999-00,Los Angeles Lakers,LAL,"IND, POR, PHO, SAC",23,4,0.34640140433001754,0.3931855056787453,0.046784101348727736,0.046784101348727736,0.29715510819334173,0.2894520435618858,0.3697339246119734,0.07257881641863168,0.29967760844079716,0.07005631617117625,-0.02327221482244851
2001,2000-01,Los Angeles Lakers,LAL,"PHI, SAS, SAC, POR",16,4,0.3489902767389678,0.37509549274255155,0.02610521600358373,0.02610521600358373,0.3330353360861449,0.25548378846532277,0.3253846153846154,-0.007650720701529501,0.3101980924431401,0.015186522941475267,0.010918693062108464
2002,2001-02,Los Angeles Lakers,LAL,"NJN, SAC, SAS, POR",19,4,0.31257309941520467,0.34924787442773053,0.03667477501252586,0.03667477501252586,0.3102290094781423,0.2582000417876931,0.32354818123803447,0.013319171759892168,0.30574000295115833,0.017808178286876142,0.01886659672564972
2003,2002-03,San Antonio Spurs,SAS,"NJN, DAL, LAL, PHO",24,4,0.3484198824837224,0.3990228013029316,0.0506029188192092,0.0506029188192092,0.2963002778933584,0.3029107575841546,0.2773237997957099,-0.018976478097648464,0.2591376995375205,0.018186100258189397,0.0324168185610198
2004,2003-04,Detroit Pistons,DET,"LAL, IND, NJN, MIL",23,4,0.3284764016471334,0.35860889395667045,0.030132492309537073,0.030132492309537073,0.3199997767885803,0.29116915040245495,0.31463273568536726,-0.005367041103213066,0.27124490435873316,0.043387831326634096,-0.013255339017097023
2005,2004-05,San Antonio Spurs,SAS,"DET, PHO, SEA, DEN",23,4,0.32868217054263565,0.36668561682774303,0.03800344628510738,0.03800344628510738,0.3279024796031501,0.2942729289637703,0.286336418072945,-0.04156606153020509,0.30743827645856264,-0.021101858385617622,0.059105304670725
2006,2005-06,Miami Heat,MIA,"DAL, DET, NJN, CHI",23,4,0.36349331235247834,0.4267707082833133,0.06327739593083498,0.06327739593083498,0.32401538306661765,0.3340884325145959,0.35447338618346547,0.03045800311684782,0.34048093122989737,0.013992454953568101,0.04928494097726688
2007,2006-07,San Antonio Spurs,SAS,"CLE, UTA, PHO, DEN",20,4,0.31289506953223767,0.3166123778501629,0.0037173083179252164,0.0037173083179252164,0.3291168158468696,0.3175502804242829,0.30210325047801145,-0.027013565368858128,0.27170044870803034,0.030402801769981114,-0.026685493452055897
2008,2007-08,Boston Celtics,BOS,"LAL, DET, CLE, ATL",26,4,0.3461660833598473,0.3538146441372248,0.007648560777377522,0.007648560777377522,0.32041923763996283,0.30521606121099815,0.4106280193236715,0.09020878168370866,0.34064027755874465,0.06998774176492684,-0.062339180987549314
2009,2008-09,Los Angeles Lakers,LAL,"ORL, DEN, HOU, UTA",23,4,0.2989543045408967,0.341792656587473,0.04283835204657627,0.04283835204657627,0.34194708030245274,0.299314842278703,0.36081903707802987,0.018871956775577126,0.28293040293040295,0.07788863414762692,-0.035050282101050656
2010,2009-10,Los Angeles Lakers,LAL,"BOS, PHO, UTA, OKC",23,4,0.2887272727272727,0.3197643277986074,0.031037055071334696,0.031037055071334696,0.3284547884131975,0.31926528170924845,0.3510696653867252,0.02261487697352771,0.2596491228070175,0.09142054257970766,-0.06038348750837297
2011,2010-11,Dallas Mavericks,DAL,"MIA, OKC, LAL, POR",21,4,0.28624477796688846,0.339058524173028,0.052813746206139545,0.052813746206139545,0.32548212521424186,0.2894694662263548,0.31880448318804483,-0.006677642026197028,0.27493990384615385,0.043864579341890975,0.00894916686424857
2012,2011-12,Miami Heat,MIA,"OKC, BOS, IND, NYK",23,4,0.3066001534919417,0.3642081189251001,0.05760796543315838,0.05760796543315838,0.30103132039718156,0.29082528462496443,0.2992170022371365,-0.0018143181600450697,0.276628061515094,0.022588940722042483,0.0350190247111159
2013,2012-13,Miami Heat,MIA,"SAS, IND, CHI, MIL",23,4,0.29725897920604916,0.3030646992054484,0.005805719999399217,0.005805719999399217,0.2654624013445789,0.25723222009374996,0.32395175186674324,0.05848935052216436,0.26157093321272423,0.06238081865401901,-0.05657509865461979
2014,2013-14,San Antonio Spurs,SAS,"MIA, OKC, POR, DAL",23,4,0.23991817650496786,0.2907039226222461,0.050785746117278235,0.050785746117278235,0.2798288632319134,0.2878864623417175,0.2566137566137566,-0.02321510661815679,0.24240252293577982,0.014211233677976803,0.03657451243930143
2015,2014-15,Golden State Warriors,GSW,"CLE, HOU, MEM, NOP",21,4,0.23945635421045258,0.26286037309214244,0.02340401888168986,0.02340401888168986,0.28546711164468963,0.25334054041835474,0.3129640205596802,0.02749690891499057,0.28387916431394694,0.02908485624573326,-0.005680837364043401
2016,2015-16,Cleveland Cavaliers,CLE,"GSW, TOR, ATL, DET",21,4,0.25885598141695704,0.2667443214909726,0.007888340074015565,0.007888340074015565,0.2785434327637897,0.26479068941941597,0.2585278276481149,-0.020015605115674795,0.27538598574821854,-0.01685815810010366,0.024746498174119225
2017,2016-17,Golden State Warriors,GSW,"CLE, SAS, UTA, POR",17,4,0.25910364145658266,0.2920892494929006,0.03298560803631795,0.03298560803631795,0.2750960274902454,0.2569038137958688,0.2770448548812665,0.0019488273910210907,0.26056627000410343,0.016478584877163083,0.016507023159154866
2018,2017-18,Golden State Warriors,GSW,"CLE, HOU, NOP, SAS",21,4,0.23896848137535817,0.2369878183831672,-0.0019806629921909624,-0.0019806629921909624,0.26656439373439167,0.2246623837536364,0.24074074074074073,-0.025823652993650942,0.2448509485094851,-0.004110207768744378,0.002129544776553416
2019,2018-19,Toronto Raptors,TOR,"GSW, MIL, PHI, ORL",24,4,0.24681724845995892,0.2748279252704032,0.02801067681044425,0.02801067681044425,0.2564569395652871,0.24964122703888844,0.30110220440881763,0.04464526484353054,0.24877584330794342,0.052326361100874214,-0.024315684290429962
2020,2019-20,Los Angeles Lakers,LAL,"MIA, DEN, HOU, POR",21,4,0.2756420481735524,0.2925170068027211,0.016874958629168657,0.016874958629168657,0.2675100359685603,0.26550113117327806,0.3112931538911644,0.04378311792260409,0.2628091158881526,0.04848403800301182,-0.03160907937384316
2021,2020-21,Milwaukee Bucks,MIL,"PHO, ATL, BRK, MIA",23,4,0.23282904689863843,0.22816229116945108,-0.004666755729187344,-0.004666755729187344,0.25014056790533795,0.24088518753505433,0.19740777666999004,-0.05273279123534791,0.20185406698564592,-0.004446290315655882,-0.0002204654135314621
2022,2021-22,Golden State Warriors,GSW,"BOS, DAL, MEM, DEN",22,4,0.23493720897417808,0.22955145118733508,-0.0053857577868429984,-0.0053857577868429984,0.24405992646348598,0.2441899960026764,0.2696808510638298,0.025620924600343792,0.2648633417864187,0.004817509277411092,-0.01020326706425409
2023,2022-23,Denver Nuggets,DEN,"MIA, LAL, PHO, MIN",20,4,0.2587471783295711,0.2571262361838278,-0.0016209421457433204,-0.0016209421457433204,0.2672663144811507,0.27040697163964456,0.24430157802454705,-0.02296473645660363,0.25969857661177786,-0.015396998587230815,0.013776056441487494
2024,2023-24,Boston Celtics,BOS,"DAL, IND, CLE, MIA",19,4,0.22363439697133586,0.23038292529817953,0.006748528326843667,0.006748528326843667,0.24181557878506024,0.24586126479343096,0.16553428042001236,-0.07628129836504788,0.18922155688622755,-0.023687276466215185,0.03043580479305885
2025,2024-25,Oklahoma City Thunder,OKC,"IND, MIN, DEN, MEM",23,4,0.22,0.2899322362052275,0.06993223620522751,0.06993223620522751,0.24989352927599687,0.2392509118395065,0.28796343321482987,0.038069903938833,0.2723702664796634,0.015593166735166475,0.054339069470061035
