season,season_label,team,team_fta_rank,player,pos,age,reg_games,po_games,made_playoffs,reg_mp_per_g,po_mp_per_g,reg_fta_per_g,po_fta_per_g,fta_per_g_change,fta_per_g_pct_change,reg_fta_total,po_fta_total,fta_total_change,reg_fga_per_g,po_fga_per_g,fga_per_g_change,fga_per_g_pct_change,reg_fga_total,po_fga_total,fga_total_change,reg_fta_rate,po_fta_rate,fta_rate_change,fta_change_minus_fga_change
2000,1999-00,ATL,1.0,Dikembe Mutombo,C,33.0,82.0,,False,36.4,,5.1,,,,421.0,,,7.0,,,,573.0,,,0.7285714285714285,,,
2000,1999-00,ATL,2.0,Alan Henderson,PF,27.0,82.0,,False,33.8,,4.1,,,,334.0,,,11.3,,,,930.0,,,0.3628318584070796,,,
2000,1999-00,ATL,3.0,Isaiah Rider,SG,28.0,60.0,,False,34.7,,4.3,,,,260.0,,,17.9,,,,1072.0,,,0.24022346368715083,,,
2000,1999-00,ATL,4.0,Jim Jackson,SF,29.0,79.0,,False,35.0,,2.7,,,,212.0,,,15.6,,,,1235.0,,,0.1730769230769231,,,
2000,1999-00,ATL,5.0,Jason Terry,PG,22.0,81.0,,False,23.3,,1.7,,,,140.0,,,7.4,,,,600.0,,,0.22972972972972971,,,
2000,1999-00,BOS,1.0,Paul Pierce,SF,22.0,73.0,,False,35.4,,6.2,,,,450.0,,,15.1,,,,1099.0,,,0.41059602649006627,,,
2000,1999-00,BOS,2.0,Antoine Walker,PF,23.0,82.0,,False,36.6,,5.4,,,,445.0,,,18.4,,,,1506.0,,,0.29347826086956524,,,
2000,1999-00,BOS,3.0,Kenny Anderson,PG,29.0,82.0,,False,31.6,,3.1,,,,253.0,,,12.0,,,,986.0,,,0.25833333333333336,,,
2000,1999-00,BOS,4.0,Danny Fortson,PF,23.0,55.0,,False,15.6,,3.4,,,,189.0,,,4.8,,,,265.0,,,0.7083333333333334,,,
2000,1999-00,BOS,5.0,Eric Williams,SF,27.0,68.0,,False,20.3,,2.5,,,,169.0,,,5.7,,,,386.0,,,0.43859649122807015,,,
2000,1999-00,CHH,1.0,Anthony Mason,SF,33.0,82.0,4.0,True,38.2,44.8,5.1,5.0,-0.09999999999999964,-0.019607843137254832,421.0,20.0,-401.0,8.1,9.5,1.4000000000000004,0.17283950617283955,661.0,38.0,-623.0,0.6296296296296297,0.5263157894736842,-0.10331384015594547,-0.19244734931009438
2000,1999-00,CHH,2.0,Eddie Jones,SG,28.0,72.0,4.0,True,39.0,42.8,5.8,4.0,-1.7999999999999998,-0.31034482758620685,419.0,16.0,-403.0,15.5,14.5,-1.0,-0.06451612903225806,1119.0,58.0,-1061.0,0.3741935483870968,0.27586206896551724,-0.09833147942157955,-0.2458286985539488
2000,1999-00,CHH,3.0,Derrick Coleman,PF,32.0,74.0,4.0,True,31.7,42.3,5.1,7.0,1.9000000000000004,0.37254901960784326,377.0,28.0,-349.0,13.2,14.3,1.1000000000000014,0.08333333333333344,979.0,57.0,-922.0,0.38636363636363635,0.4895104895104895,0.10314685314685312,0.28921568627450983
2000,1999-00,CHH,4.0,Elden Campbell,C,31.0,78.0,4.0,True,32.5,37.5,4.6,3.5,-1.0999999999999996,-0.23913043478260865,358.0,14.0,-344.0,10.6,11.8,1.200000000000001,0.11320754716981142,829.0,47.0,-782.0,0.43396226415094336,0.2966101694915254,-0.13735209465941794,-0.35233798195242005
2000,1999-00,CHH,5.0,David Wesley,PG,29.0,82.0,4.0,True,33.7,38.0,3.4,2.3,-1.1,-0.3235294117647059,275.0,9.0,-266.0,11.6,12.0,0.40000000000000036,0.03448275862068969,955.0,48.0,-907.0,0.29310344827586204,0.19166666666666665,-0.10143678160919539,-0.35801217038539557
2000,1999-00,CHI,1.0,Elton Brand,PF,20.0,81.0,,False,37.0,,6.6,,,,536.0,,,16.1,,,,1306.0,,,0.4099378881987577,,,
2000,1999-00,CHI,2.0,Metta World Peace,SF,20.0,72.0,,False,31.1,,3.9,,,,279.0,,,10.5,,,,759.0,,,0.37142857142857144,,,
